osm_id,nom,type,lat,lon,km_sur_trace,dist_trace_m,phone,website,capacity,rooms
276032887,Hôtel Mapel,Hôtel,44.5610407,2.2523355,0.0,404.0,+335 65 43 04 33,https://www.hotelmalpel.com/,,20
497675839,La Route d'Argent,Hôtel,44.662462899999994,3.0460395,0.0,200.0,,,,
732656550,Les Étoiles,Chambre d'hôtes,44.1031362,1.0837673999999995,0.0,430.0,,http://www.gite-moissac.com/,,
1973985072,La Borie de l'Aubrac,Chambre d'hôtes,44.65185430000001,3.0853800000000007,0.0,355.0,+33 4 66457697,https://borie-aubrac.com/,,
1379814343,Aux Armes d'Estaing,Hôtel,44.553543600000005,2.6719116,0.0,614.0,,,,
1379814340,Auberge Saint-Fleuret,Hôtel,44.554636800000004,2.6718889,0.0,449.0,,,,
1300225052,Beau Rivage,Camping,43.32037900000001,-0.7621061000000003,0.0,358.0,,,,
1110908827,Gîte d'Étape Nogaro,Gîte / Auberge,43.76514830000001,-0.0331580000000004,0.0,104.0,+33562690615,http://www.gite-etape-nogaro.fr,,
1867298089,Camping vert de Saint-Chély d'Aubrac,Camping,44.5916627,2.9280137999999996,0.0,132.0,,https://chezfannyetjeremy.fr/camping-saint-chely/,,
1880783809,L'Étape d'Angéline,Chambre d'hôtes,43.98207260000001,0.4978917,0.0,401.0,,,,
1946129687,La Dômerie,Chambre d'hôtes,44.6218735,2.9858963999999997,0.0,623.0,+33565442842,https://www.la-domerie.com/fr,,5
1562068498,Le Breuil,Hôtel,44.781011699999986,3.3865085000000006,0.0,288.0,,,,
1866381085,Hôtel des Bains,Hôtel,44.606696400000004,2.0349726999999995,0.0,553.0,,,,
1740613192,Auberge Saint-Jacques,Hôtel,44.5992124,2.3970795999999996,0.0,620.0,,http://www.aubergestjacques.fr/,,13
1571679645,Hospitalité Saint-Jacques,Gîte / Auberge,44.55508220000002,2.6722573,0.0,718.0,+33 5 65 44 19 00,https://www.hospitalite-saint-jacques.fr/,,
1995552037,Maison de Rosalie,Chambre d'hôtes,44.65821170000001,3.0725105999999998,0.13,8.0,+33 4 66 32 55 14,https://www.hotel-aubrac.com/,,
1995562092,Le Margeride,Chambre d'hôtes,44.662991800000015,3.045094600000001,0.18,317.0,,,,
1995562094,Le Sorbier,Chambre d'hôtes,44.662591499999984,3.0453254000000003,0.18,548.0,,,,
1995562097,Nada,Chambre d'hôtes,44.66166249999999,3.0453119000000006,0.37,13.0,,,,
1995647295,La Grapière,Chambre d'hôtes,44.66198070000001,3.0474680000000003,0.56,666.0,,,,
1995647300,Lo d'ici,Chambre d'hôtes,44.661721099999994,3.0474925999999996,0.78,17.0,,,,
1995647303,Repos du Pélerin,Chambre d'hôtes,44.66369730000001,3.0443810000000004,1.72,849.0,,,,
1995647317,Chazaly,Chambre d'hôtes,44.6619723,3.0479499000000008,9.78,81.0,,,,
1995678805,Le Bastide,Hôtel,44.65832909999998,3.052803,16.38,96.0,,https://www.bastide-nasbinals.com/hebergements/hotel-le-bastide/,,
2015634884,Lous Grits,Hôtel,43.94273470000002,0.5391108999999997,16.64,35.0,,,,
2077860917,Bouchard,Chambre d'hôtes,44.66194009999999,3.0477948000000006,23.39,5.0,,,,
2084517976,Hôtel de France,Hôtel,44.66274599999999,3.0451018999999997,23.45,10.0,,,,
2315578488,Ibis Budget,Hôtel,45.0429463,3.8917154000000007,23.45,198.0,,,,82
2344715406,La halte Pompsoise,Gîte / Auberge,43.4904949,-0.5430739999999995,23.49,9.0,,,,
2372131671,Sans nom,Chambre d'hôtes,44.0685341,0.8938274999999996,23.75,59.0,+33563396245,,,
